brand,model,price,fuel_type,color,image
honda,amaze 1.2 vx i-vtec,505000,petrol,grey,honda_amaze.jpg
maruti suzuki,swift dzire vdi,450000,diesel,white,i10.jpg
hyundai,i10 magna 1.2 kappa2,220000,petrol,maroon,innova-crysta-exterior-right-front-three-quarter.webp
toyota,glanza g,799000,petrol,red,maruti-suzuki-swift-side-dzire.jpeg
toyota,innova 2.4 vx 7 str [2016-2020],1950000,diesel,grey,toyota-glanza-g-petrol-sporting-red.jpg
maruti suzuki,ciaz zxi,675000,petrol,grey,ciaz-zxi.jpeg
bmw,x1 xdrive20d m sport,2650000,diesel,white,x1-xdrive20d-m-sport.jpg
skoda,octavia 1.8 tsi style plus at [2017],1390000,petrol,white,octavia-1.8-tsi-style-plus.webp
nissan,terrano xl (d),575000,diesel,white,terrano-xl.webp
hyundai,elite i20 sportz 1.2,591000,petrol,red,i20-exterior-right-front-three-quarter-6.webp
