brand,model,price,fuel_type,color
honda,amaze 1.2 vx i-vtec,505000,petrol,grey
maruti suzuki,swift dzire vdi,450000,diesel,white
hyundai,i10 magna 1.2 kappa2,220000,petrol,maroon
toyota,glanza g,799000,petrol,red
toyota,innova 2.4 vx 7 str [2016-2020],1950000,diesel,grey
maruti suzuki,ciaz zxi,675000,petrol,grey
bmw,x1 xdrive20d m sport,2650000,diesel,white
skoda,octavia 1.8 tsi style plus at [2017],1390000,petrol,white
nissan,terrano xl (d),575000,diesel,white
hyundai,elite i20 sportz 1.2,591000,petrol,red
renault,kwid 1.0 rxt [2016-2019],459999,petrol,grey
maruti suzuki,ciaz alpha hybrid 1.5 at [2018-2020],1075000,petrol,blue
tata,harrier xz [2019-2020],1695000,diesel,orange
volkswagen,polo gt tsi,944999,petrol,grey
maruti suzuki,celerio zxi amt [2019-2020],569000,petrol,red
maruti suzuki,alto 800 lxi (o),449000,petrol,grey
maruti suzuki,baleno alpha automatic,894999,petrol,grey
maruti suzuki,wagon r zxi 1.2 amt,699000,petrol,white
hyundai,creta 1.6 e petrol,740000,petrol,silver
maruti suzuki,s-presso vxi amt,470000,petrol,grey
volkswagen,vento comfortline petrol at,765000,petrol,brown
hyundai,santro sportz amt [2018-2020],589000,petrol,white
hyundai,venue sx 1.0 (o) petrol [2019-2020],999000,petrol,blue
maruti suzuki,alto lxi cng,370000,cng,grey
maruti suzuki,ritz zxi bs-iv,325000,petrol,grey
hyundai,creta 1.6 sx plus petrol,1175000,petrol,grey
honda,brio v mt,351000,petrol,red
hyundai,elite i20 asta 1.2,551000,petrol,white
honda,wr-v vx mt petrol,819999,petrol,white
hyundai,venue sx 1.0 turbo imt,990000,petrol,blue
hyundai,creta 1.6 sx plus at,925000,diesel,black
ford,ecosport titanium+ 1.0l ecoboost,535000,petrol,silver
hyundai,santro gl (cng),145000,cng,silver
tata,tiago revotron xe [2016-2019],409000,petrol,white
tata,tigor revotorq xt,490000,diesel,white
toyota,innova 2.4 g 8 str [2016-2017],1900000,diesel,bronze
mercedes-benz,glc 220 d progressive,3850000,diesel,black
hyundai,creta sx 1.6 crdi (o),1125000,diesel,white
mercedes-benz,m-class ml 250 cdi,2300000,diesel,white
toyota,corolla altis vl at petrol,1095000,petrol,black
audi,a4 2.0 tdi (177bhp) premium plus,1575000,diesel,white
mercedes-benz,slk-class slk 200 k,2400000,petrol,grey
hyundai,elite i20 asta 1.2,525000,petrol,gold
mahindra,thar crde 4x4 ac,625000,diesel,white
maruti suzuki,baleno delta 1.2,605000,petrol,silver
maruti suzuki,celerio vxi amt,412000,petrol,silver
maruti suzuki,ciaz vdi shvs,625000,diesel,brown
maruti suzuki,ciaz vxi,511000,petrol,silver
hyundai,creta sx plus 1.6 at crdi,1150000,diesel,grey
hyundai,creta sx plus 1.6  petrol,885000,petrol,white
renault,kwid 1.0 rxt amt opt,470000,petrol,silver
mg,hector sharp 2.0 diesel [2019-2020],1611000,diesel,white
tata,tiago revotron xza [2017-2019],475000,petrol,silver
toyota,innova 2.5 gx bs iv 7 str,865000,diesel,silver
bmw,x3 xdrive 20d luxury line [2018-2020],3800000,diesel,blue
jeep,compass limited plus 2.0 diesel 4x4 at,2475000,diesel,white
mahindra,scorpio sle bs-iv,400000,diesel,white
honda,brio s mt,440000,petrol,white
bmw,3-series 320i luxury line,2800000,petrol,white
honda,city v petrol [2017-2019],645000,petrol,white
volkswagen,polo highline1.2l (d),365000,diesel,silver
maruti suzuki,vitara brezza zxi plus,1044999,petrol,silver
maruti suzuki,eeco 7 str [2019-2020],515000,petrol,grey
hyundai,grand i10 asta at 1.2 kappa vtvt [2013-2016],455000,petrol,blue
bmw,x3 xdrive20d,1800000,diesel,black
toyota,fortuner 2.8 4x2 at [2016-2020],3499000,diesel,white
honda,civic 1.8s mt,190000,petrol,maroon
maruti suzuki,swift zxi plus amt,775000,petrol,grey
hyundai,elite i20 sportz 1.5 mt diesel,825000,diesel,white
audi,a3 35 tdi technology + sunroof,2250000,diesel,white
honda,city v cvt petrol [2017-2019],865000,petrol,grey
ford,figo duratorq diesel titanium 1.4,299000,diesel,red
honda,jazz vx petrol,570000,petrol,brown
volkswagen,polo highline1.2l (p),385000,petrol,white
honda,amaze 1.5 sx i-dtec,350000,diesel,black
toyota,camry 2.5l at,2345000,petrol,brown
mahindra,thar lx 4-str hard top petrol at,1650000,petrol,black
mercedes-benz,c-class 250 cdi elegance,1100000,diesel,black
audi,q3 35 tdi quattro premium plus,2900000,diesel,white
maruti suzuki,baleno sigma 1.2,545000,petrol,red
bmw,x1 sdrive20d xline,2990000,diesel,white
maruti suzuki,baleno zeta 1.2,615000,petrol,silver
hyundai,creta 1.6 sx plus at,890000,diesel,silver
volkswagen,vento comfortline petrol,430000,petrol,brown
mercedes-benz,c-class 220 blueefficiency,1650000,diesel,silver
toyota,camry hybrid,1599000,petrol,silver
maruti suzuki,dzire vxi,691000,petrol,white
nissan,terrano xv d thp 110 ps,650000,diesel,white
maruti suzuki,wagon r lxi cng,415000,cng,brown
maruti suzuki,vitara brezza ldi (o) [2016-2018],669000,diesel,grey
porsche,cayenne coupe platinum edition,16200000,petrol,blue
mercedes-benz,c-class cabriolet c 300,5100000,petrol,white
hyundai,elite i20 magna 1.2,525000,petrol,silver
hyundai,verna 1.6 vtvt sx,750000,petrol,black
honda,amaze 1.2 sx i-vtec,445000,petrol,bronze
toyota,corolla altis 1.8 g,493000,petrol,silver
hyundai,elite i20 sportz 1.2 (o),611000,petrol,red
hyundai,grand i10 asta at 1.2 kappa vtvt [2013-2016],475000,petrol,white
hyundai,creta sx plus 1.6  petrol,925000,petrol,grey
audi,a6 2.0 tdi premium,1325000,diesel,white
bmw,x1 sdrive20d xline,3900000,diesel,black
mahindra,xuv300 w8 (o) 1.5 diesel,1299000,diesel,white
maruti suzuki,swift zdi plus,580000,diesel,blue
mahindra,thar lx 4-str hard top petrol mt,1575000,petrol,blue
honda,city 1.5 s mt,375000,petrol,bronze
mercedes-benz,e-class e 250 cdi avantgarde,2250000,diesel,white
toyota,fortuner 3.0 4x2 at,1400000,diesel,white
tata,zest xm 75 ps diesel,425000,diesel,silver
skoda,rapid ambition 1.6 mpi at plus,425000,petrol,beige
maruti suzuki,alto 800 lxi,250000,petrol,maroon
maruti suzuki,ertiga vdi,425000,diesel,white
ford,figo duratorq diesel zxi 1.4,235000,diesel,white
audi,a3 35 tdi technology + sunroof,3050000,diesel,white
tata,harrier xz plus,2145000,diesel,red
hyundai,elite i20 asta (o) 1.0 turbo dct,1245000,petrol,red
hyundai,elite i20 asta 1.2,549000,petrol,silver
volkswagen,polo highline1.2l (d),484999,diesel,white
maruti suzuki,swift dzire vxi,415000,petrol,grey
hyundai,santro gl (cng),200000,cng,white
hyundai,grand i10 sportz 1.2 kappa vtvt [2013-2016],375000,petrol,grey
hyundai,creta sx (o) 1.4 turbo 7 dct dual tone [2022-2022],1875000,petrol,black
audi,q2 premium plus i 40 tfsi quattro,2950000,petrol,white
audi,q7 45 tdi premium plus,4900000,diesel,black
hyundai,elite i20 asta (o) 1.0 turbo dct,1050000,petrol,white
hyundai,verna fluidic 1.6 crdi sx,470000,diesel,grey
maruti suzuki,wagon r vxi,345000,petrol,silver
mahindra,scorpio 2.6 turbo 7 str,550000,diesel,white
hyundai,grand i10 magna 1.2 kappa vtvt [2013-2016],484999,petrol,white
toyota,fortuner 2.8 4x2 at [2016-2020],3350000,diesel,white
audi,q5 45 tfsi premium plus,5651000,petrol,blue
renault,duster rxs 1.5 petrol mt,890000,petrol,white
maruti suzuki,swift dzire vxi,325000,petrol,white
hyundai,creta sx 1.6 at petrol,1390000,petrol,white
hyundai,grand i10 magna 1.2 kappa vtvt [2013-2016],459999,petrol,white
jeep,compass limited (o) 2.0 diesel [2017-2020],1075000,diesel,white
hyundai,verna ex 1.6 crdi [2017-2018],484999,diesel,white
hyundai,i20 magna 1.2,385000,petrol,white
audi,a6 35 tdi matrix,3900000,diesel,black
mahindra,marazzo m2 8 str,1050000,diesel,green
kia,seltos htx plus 1.5 diesel [2020-2021],1575000,diesel,silver
maruti suzuki,baleno alpha 1.2,655000,petrol,blue
mercedes-benz,e-class e 220d expression [2019-2019],4500000,diesel,white
maruti suzuki,ertiga zdi + shvs,865000,diesel,white
hyundai,verna fluidic 1.6 vtvt sx,699000,petrol,white
hyundai,verna fluidic 1.6 crdi sx,425000,diesel,white
land rover,discovery sport s,6500000,diesel,white
toyota,fortuner 2.8 4x2 at [2016-2020],2900000,diesel,white
mercedes-benz,gle 250 d,4550000,diesel,silver
hyundai,xcent s 1.2 (o),490000,petrol,white
mercedes-benz,s-class maybach s 500,11500000,petrol,blue
hyundai,creta sx 1.6 at petrol,1475000,petrol,white
mg,astor sharp 1.5 cvt,1764999,petrol,red
honda,cr-v 2.4 at,250000,petrol,black
maruti suzuki,alto 800 lxi,245000,petrol,white
renault,duster 85 ps rxl,490000,diesel,white
hyundai,grand i10 sportz (o) 1.2 kappa vtvt [2017-2018],550000,petrol,grey
honda,city v,675000,petrol,red
mercedes-benz,c-class c 200 avantgarde,2225000,petrol,blue
hyundai,elite i20 asta 1.4 (o) crdi,560000,diesel,white
skoda,fabia elegance 1.6 mpi,225000,petrol,silver
skoda,rapid 1.5 tdi cr ambition plus at,499000,diesel,black
kia,sonet gtx plus 1.0 dct [2020-2021],1055000,petrol,gold
mahindra,xuv500 w11 at,2048999,diesel,white
bmw,3-series 320d luxury line,2775000,diesel,brown
mercedes-benz,gla 200 cdi sport,1650000,diesel,white
audi,a6 35 tdi premium,1450000,diesel,red
mahindra,scorpio vlx 2wd bs-iv,600000,diesel,white
toyota,fortuner 3.0 4x4 mt,1675000,diesel,white
hyundai,elite i20 magna 1.2,575000,petrol,white
ford,ecosport titanium+ 1.5l tdci,699000,diesel,grey
audi,q7 3.0 tdi quattro premium plus,2450000,diesel,blue
mercedes-benz,c-class c 250 d,2775000,diesel,black
maruti suzuki,s-presso vxi,430000,petrol,silver
mahindra,scorpio s5 2wd 7 str,1165000,diesel,white
mg,hector sharp 2.0 diesel turbo mt,1780000,diesel,black
maruti suzuki,swift vdi bs-iv,295000,diesel,silver
maruti suzuki,swift zdi,495000,diesel,white
honda,city vx (o) mt,975000,petrol,silver
renault,duster 110 ps rxl diesel,425000,diesel,white
audi,q3 2.0 tdi quattro premium,1350000,diesel,white
mercedes-benz,m-class 350 cdi,3200000,diesel,silver
volvo,v40 cross country d3,1250000,diesel,silver
bmw,5-series 530d m sport [2013-2017],5600000,diesel,white
maruti suzuki,swift dzire vdi,560000,diesel,gold
mahindra,scorpio s5 2wd 7 str,1221000,diesel,white
honda,city 1.5 s at,295000,petrol,grey
mercedes-benz,c-class 200 cgi,1300000,petrol,silver
hyundai,creta 1.6 sx plus at,950000,diesel,silver
mercedes-benz,e-class e350 cdi avantgarde,1350000,diesel,white
mercedes-benz,m-class ml 350 cdi,2682000,diesel,white
maruti suzuki,alto 800 lxi,286000,petrol,silver
hyundai,i20 magna 1.4 crdi,340000,diesel,silver
skoda,rapid style at,1125000,petrol,red
tata,nexon xma petrol,580000,petrol,red
maruti suzuki,swift dzire vxi,495000,petrol,silver
maruti suzuki,swift dzire zdi,550000,diesel,white
kia,sonet gtx plus 1.5 at [2020-2021],1485000,diesel,red
skoda,rapid monte carlo 1.6 mpi mt,885000,petrol,red
audi,rs5 4.2 coupe,3650000,petrol,blue
hyundai,grand i10 nios magna amt 1.2 kappa vtvt,715000,petrol,silver
mercedes-benz,r-class r350 4matic,2485000,petrol,white
toyota,innova 2.4 g 7 str [2016-2017],2250000,diesel,grey
hyundai,creta sx plus 1.6 at crdi,1050000,diesel,silver
toyota,fortuner 2.8 4x2 at [2016-2020],3600000,diesel,white
honda,city 1.5 s mt,295000,petrol,white
renault,kwid rxt opt,375000,petrol,silver
audi,a6 2.0 tfsi technology pack,7200000,petrol,white
tata,safari xza plus 6s adventure new,2395000,diesel,blue
audi,a6 2.0 tdi premium,1775000,diesel,white
honda,brio ex mt,325000,petrol,silver
maruti suzuki,swift zdi,425000,diesel,white
mahindra,scorpio s9 2wd 7 str,1475000,diesel,white
toyota,innova 2.8 gx at 7 str [2016-2020],1580000,diesel,beige
honda,amaze vx cvt 1.2 petrol,869000,petrol,brown
mercedes-benz,gle 250 d,5850000,diesel,grey
jeep,compass longitude plus 2.0 diesel 4x4 at,1900000,diesel,grey
maserati,levante diesel,9000000,diesel,white
toyota,fortuner 2.8 4x2 at [2016-2020],3550000,diesel,black
